Date,LTC
8/19/2016,3.61
8/20/2016,3.61
8/21/2016,3.66
8/22/2016,3.94
8/23/2016,3.84
8/24/2016,3.79
8/25/2016,3.81
8/26/2016,3.74
8/27/2016,3.73
8/28/2016,3.77
8/29/2016,3.8
8/30/2016,3.79
8/31/2016,3.82
9/1/2016,3.81
9/2/2016,3.9
9/3/2016,4.01
9/4/2016,3.96
9/5/2016,3.95
9/6/2016,3.95
9/7/2016,3.97
9/8/2016,3.96
9/9/2016,3.96
9/10/2016,3.85
9/11/2016,3.81
9/12/2016,3.81
9/13/2016,3.82
9/14/2016,3.8
9/15/2016,3.82
9/16/2016,3.8
9/17/2016,3.83
9/18/2016,3.82
9/19/2016,3.83
9/20/2016,3.77
9/21/2016,3.76
9/22/2016,3.81
9/23/2016,3.8
9/24/2016,3.8
9/25/2016,3.85
9/26/2016,3.84
9/27/2016,3.83
9/28/2016,3.84
9/29/2016,3.83
9/30/2016,3.83
10/1/2016,3.84
10/2/2016,3.83
10/3/2016,3.83
10/4/2016,3.84
10/5/2016,3.82
10/6/2016,3.84
10/7/2016,3.82
10/8/2016,3.81
10/9/2016,3.77
10/10/2016,3.81
10/11/2016,3.8
10/12/2016,3.88
10/13/2016,3.87
10/14/2016,3.86
10/15/2016,3.86
10/16/2016,3.84
10/17/2016,3.82
10/18/2016,3.79
10/19/2016,3.77
10/20/2016,3.8
10/21/2016,3.85
10/22/2016,3.88
10/23/2016,3.84
10/24/2016,3.85
10/25/2016,3.92
10/26/2016,3.98
10/27/2016,3.95
10/28/2016,4.05
10/29/2016,3.96
10/31/2016,3.96
11/1/2016,4.06
11/2/2016,4.08
11/3/2016,3.83
11/4/2016,3.86
11/5/2016,3.86
11/6/2016,3.87
11/7/2016,3.84
11/8/2016,3.82
11/9/2016,3.85
11/10/2016,3.8
11/11/2016,3.8
11/12/2016,3.75
11/13/2016,3.85
11/14/2016,3.86
11/15/2016,3.87
11/16/2016,3.89
11/17/2016,3.88
11/18/2016,3.93
11/19/2016,3.92
11/20/2016,3.88
11/21/2016,3.92
11/22/2016,3.91
11/23/2016,3.9
11/24/2016,3.86
11/25/2016,3.88
11/26/2016,3.85
11/27/2016,3.86
11/28/2016,3.87
11/29/2016,3.84
11/30/2016,3.87
12/1/2016,3.89
12/2/2016,3.9
12/3/2016,3.89
12/4/2016,3.89
12/5/2016,3.49
12/6/2016,3.5
12/7/2016,3.63
12/8/2016,3.67
12/9/2016,3.67
12/10/2016,3.67
12/11/2016,3.63
12/12/2016,3.65
12/13/2016,3.63
12/14/2016,3.61
12/15/2016,3.63
12/16/2016,3.62
12/17/2016,3.67
12/18/2016,3.66
12/19/2016,3.64
12/20/2016,3.64
12/21/2016,3.63
12/22/2016,3.67
12/23/2016,4.41
12/24/2016,4.38
12/25/2016,4.22
12/26/2016,4.2
12/27/2016,4.3
12/28/2016,4.42
12/29/2016,4.47
12/30/2016,4.35
12/31/2016,4.32
1/1/2017,4.42
1/2/2017,4.54
1/3/2017,4.51
1/4/2017,4.42
1/5/2017,4.16
1/6/2017,3.76
1/7/2017,3.82
1/8/2017,3.91
1/9/2017,4.25
1/10/2017,4.47
1/11/2017,3.84
1/12/2017,3.94
1/13/2017,3.86
1/14/2017,3.89
1/15/2017,3.85
1/16/2017,3.82
1/17/2017,3.89
1/18/2017,3.8
1/19/2017,3.82
1/20/2017,3.84
1/21/2017,3.85
1/22/2017,3.81
1/23/2017,3.82
1/24/2017,3.75
1/25/2017,3.66
1/26/2017,3.81
1/27/2017,3.85
1/28/2017,3.84
1/29/2017,3.82
1/30/2017,3.99
1/31/2017,4.02
2/1/2017,4
2/2/2017,4.03
2/3/2017,3.99
2/4/2017,3.96
2/5/2017,3.97
2/6/2017,3.93
2/7/2017,3.93
2/8/2017,3.93
2/9/2017,3.67
2/10/2017,3.76
2/11/2017,3.81
2/12/2017,3.73
2/13/2017,3.74
2/14/2017,3.8
2/15/2017,3.81
2/16/2017,3.84
2/17/2017,3.83
2/18/2017,3.78
2/19/2017,3.75
